internal_id,category_name,total_products
22395538,Sweet & Sour,1
22395539,Taco Sauce,4
22395540,Tartar,4
22395541,Teriyaki Sauce,5
22395542,Biscuits,2
22395543,"Bread, Muffin & Scone Mix",15
22395544,Brownie Mix,11
22395545,Cake & Cupcake Mix,19
22395546,Cookie Mix,4
22395549,Canola Oil,6
22395550,Cooking Sprays,9
22395551,Corn Oil,5
22395552,More Oils & Shortening,9
22395553,Olive Oil,16
22395554,Sesame Oil,1
22395555,Vegetable Oil,4
22395566,Cosmetic Tools,1
22395574,Bars,48
22395575,Diet Aids,1
22395576,Drinks & Shakes,4
22395577,Electrolytes,3
22395578,Energy Supplements,2
22395583,Accessories,16
22395584,Bar Soap & Body Wash,70
22395588,Conditioner,23
22395590,Hair Coloring,28
22395592,Shampoo,62
22395594,Styling Products,36
22395596,Homeopathic Cough and Cold,1
22395602,Allergy & Sinus,11
22395603,"Cough, Cold & Flu Treatment",100
22395604,Digestion & Nausea,49
22395605,First Aid & Wound,74
22395606,Pain Relief & Fever,60
22395607,Sleeping & Snoring,7
22395609,Deodorants & Antiperspirants,113
22395610,"Ear, Nose & Throat Care",1
22395611,Eye & Contacts Care,14
22395612,Eyeglasses,2
22395613,Feminine Care,45
22395614,Footcare,4
22395615,Incontinence,7
22395616,Nail Care,19
22395617,Oral Care,116
22395618,Shaving & Grooming,45
22395619,Facial,25
22395620,Hand Soaps & Sanitizers,8
22395621,Lip Care,1
22395622,Lotion,43
22395623,Sunscreen,4
22395624,Adult Multivitamins,5
22395625,"Beverage, Supplements",1
22395627,Children's Multivitamins,3
22395628,Diet Formulas,1
22395631,Health Supplements,10
22395636,Minerals & Supplements,6
22395637,Multivitamins,1
22395639,Over-The-Counter Medications,1
22395642,"Supplements, Specialty",2
22395644,Vitamin A-K,3
22395645,Vitamin B,2
22395646,Vitamin C,3
22395648,Vitamin D,3
22395649,Vitamin E,1
22395654,"Aluminum Foil, Cling Wrap & Wax Paper",14
22395655,Bakeware & Cookware,95
22395656,Baking & Cooking Accessories,41
22395657,Plastic Bags,51
22395658,Plastic Containers,33
22395659,Air Fresheners,64
22395660,Bathroom,25
22395661,Bleach,9
22395662,Cleaning Tools & Sponges,97
22395663,Cleaning Wipes,23
22395664,Floor Cleaners,11
22395665,Glass Cleaners,6
22395666,Multi-Purpose,40
22395667,Polishes & Wax,8
22395668,Liquid,15
22395669,Pods,1
22395670,Powder,1
22395671,Soap,9
22395674,Bleach,5
22395675,Dryer Sheets,1
22395676,Liquid,41
22395677,Pods,4
22395678,Powder,10
22395679,Stain Remover & Softener,33
22395680,Biodegradable Bags,1
22395681,Facial Tissue,3
22395682,Paper Towels,7
22395683,Tableware & Serveware,103
22395684,Toilet Paper,11
22395685,Trash Bags,21
22395686,Sewing,2
22395687,Shoe Care,13
22395688,Automotive,6
22395689,Batteries & Lighting,51
22395690,Electronics,8
22395691,Pest Control,28
22395692,Tools & Repair,17
22395694,Accessories,2
22395699,Asian & Rice Noodles,11
22395700,Curls & Spirals,10
22395701,Egg Noodles,3
22395702,Lasagna,6
22395703,Long Cut,30
22395704,Organic & All Natural,2
22395705,Ravioli,11
22395706,Refrigerated & Fresh,3
22395707,Tubes & Shells,32
22395708,Whole Grain,7
22395709,Creamy & Cheesy,9
22395710,Marinara,15
22395711,Meat,5
22395712,Mushroom,3
22395716,Tomato & Basil,39
22395717,Vegetable,5
22395718,Vodka,3
22395719,Cat Food,54
22395720,Cat Toys,3
22395721,Cat Treats,7
22395723,Grooming,1
22395724,Litter,9
22395725,Bones & Toys,12
22395726,Collars & Leashes,4
22395727,Dog Food,72
22395728,Dog Treats,24
22395729,Grooming,8
22395732,Coconut,10
22395733,Olive,38
22395736,Vinegars,56
22395738,Blue Cheese,9
22395739,Caesar,10
22395740,Croutons,40
22395742,French,6
22395743,Italian,20
22395744,Low-Fat & Light,8
22395745,Mustard,4
22395746,Ranch,23
22395747,Thousand Island,7
22395748,Vinaigrette,20
22395749,Yogurt,3
22395750,Bagel Chips,3
22395751,Cheese & Puffed Snacks,20
22395752,Corn,6
22395753,Gluten Free,2
22395754,Pita,6
22395755,Potato,54
22395756,Pretzels,11
22395757,Pringles,18
22395758,Rice & Rice Cakes,1
22395759,Snack Mixes,15
22395761,Tortilla,26
22395762,Vegetable,22
22395763,Animal,2
22395764,Biscuits,16
22395765,Chocolate & Chocolate Chip,33
22395766,Fruit & Wafers,24
22395767,Ginger & Molasses,4
22395768,Gluten-Free,4
22395769,Iced,1
22395770,Oatmeal,4
22395771,Peanut Butter & Nut,3
22395772,Sandwich,6
22395773,Shortbread,6
22395774,Sugar,2
22395775,Sugar-Free,6
