internal_id,name,upc,internal_category_id,brand,weight,height,width,length,color
3818035!item.en-US,"The Original Donut Shop Coffee K-Cup Pod, 80-count",611247404089,/grocery-household.html,['Green Mountain Coffee'],,,,,
1660437!item.en-US,"Folgers Classic Roast Ground Coffee, Medium, 43.5 oz",025500304212,/grocery-household.html,['Folgers'],,,,,
1726089!item.en-US,"Kirkland Signature House Blend Whole Bean Coffee, Medium Roast, 2.5 lbs",196633954930,/whole-bean-coffee.html,['Kirkland Signature'],,,,,
1528787!item.en-US,"Kirkland Signature Whole Bean Coffee, French Roast, 2.5 lbs",096619896714,/kirkland-signature-groceries.html,['Kirkland Signature'],,,,,
120296!item.en-US,"Kirkland Signature Colombian Supremo Coffee, Whole Bean, 3 lbs",096619120291,/whole-bean-coffee.html,['Kirkland Signature'],,,,,
1334985!item.en-US,"Dunkin’ Donuts Original Blend, 45 oz",881334011852,/grocery-household.html,"[""Dunkin' Donuts""]",,,,,
3123239!item.en-US,"Starbucks Dark French Roast K-Cup, 72-count",050000542420,/grocery-household.html,['Starbucks'],,,,,
1244454!item.en-US,"NESCAFE Taster's Choice Instant Coffee, House Blend, Light-Medium Roast,14 oz",028000743079,/grocery-household.html,['Nescafé'],,,,,
756053!item.en-US,"Kirkland Signature Medium Roast Coffee, 40 oz.",096619781645,/kirkland-signature-groceries.html,['Kirkland Signature'],,,,,
1783708!item.en-US,"Starbucks Classic Roasts Variety Pack K-Cup Pod, 64-count",050000307548,/grocery-household.html,['Starbucks'],,,,,
3365592!item.en-US,"Caribou Coffee Caribou Blend K-Cup Pod, 80-count",611247404072,/grocery-household.html,['Green Mountain Coffee'],,,,,
541334!item.en-US,"Nestlé Coffee-mate Powdered Creamer, Original, 56 oz",050000302116,/grocery-household.html,['Coffee-mate'],,,,,
896879!item.en-US,"Splenda Zero Calorie Sweetener Packets, 1,000-count",722776004289,/grocery-household.html,['Splenda'],,,,,
46242!item.en-US,"Kirkland Signature Decaffeinated Coffee, Dark Roast, 3 lbs",096619179961,/kirkland-signature-groceries.html,['Kirkland Signature'],,,,,
1730897!item.en-US,"McCafe Premium Roast Coffee K-Cup Pod, 72-count",611247400470,/grocery-household.html,['McCafe'],,,,,
1191845!item.en-US,"Stevia in the Raw Organic Stevia Blend, 22.57 oz.",044800750802,/grocery-household.html,['Stevia In The Raw'],,,,,
1089787!item.en-US,"Kirkland Signature Flex-Tech 13-Gallon Kitchen Trash Bag, 200-count",096619439294,/kirkland-signature-groceries.html,['Kirkland Signature'],,,,,
487322!item.en-US,"All Free & Clear Plus+ HE Liquid Laundry Detergent, 158 loads, 237 fl oz",072613461035,/grocery-household.html,['All'],,,,,
3160440!item.en-US,"Tide Plus Advanced Power with Oxi Liquid Laundry Detergent, Original, 78 Loads, 138 fl oz",030772129319,/grocery-household.html,['Tide'],,,,,
2189436!item.en-US,"Clorox Disinfecting Wipes, Variety Pack, 85-count, 5-pack",055500558742,/floor-bathroom-cleaners.html,['Clorox'],,,,,
1452518!item.en-US,"Kirkland Signature Platinum Performance UltraShine Dishwasher Detergent Pacs, 115-count",196633857354,/kirkland-signature-groceries.html,['Kirkland Signature'],,,,,
1700048!item.en-US,"Tide Pods HE Laundry Detergent Pods, Free & Gentle, 152-count",030772089026,/grocery-household.html,['Tide'],,,,,
1300658!item.en-US,"Kirkland Signature Flex-Tech 13-Gallon Scented Kitchen Trash Bags, 200-count",096619215669,/kirkland-signature-groceries.html,['Kirkland Signature'],,,,,
3247022!item.en-US,"Tide Pods with Ultra Oxi Laundry Detergent Pods, 104-count",030772135464,/grocery-household.html,['Tide'],,,,,
1800219!item.en-US,"Downy Ultimate In-Wash Scent Booster Beads, Whimsical Wonder, 24.5 oz",030772153710,/grocery-household.html,['Downy'],,,,,
1725160!item.en-US,"Tide Pods HE Laundry Detergent Pods, Spring Meadow, 156-count",030772107669,/grocery-household.html,['Tide'],,,,,
1239521!item.en-US,"Kirkland Signature Ultra Clean HE Liquid Laundry Detergent, 146 loads, 194 fl oz",096619279555,/kirkland-signature-groceries.html,['Kirkland Signature'],,,,,
1840548!item.en-US,"Downy Soft Liquid Fabric Softener, April Fresh, 257 Loads, 150 fl oz",030772149515,/grocery-household.html,['Downy'],,,,,
990929!item.en-US,"Dawn Platinum Advanced Power Liquid Dish Soap, 90 fl oz",037000078920,/grocery-household.html,['Dawn'],,,,,
4160644!item.en-US,"Gain +Oxi Liquid Laundry Detergent, Original, 159 Loads, 170 fl oz",030772147269,/grocery-household.html,['Gain'],,,,,
2312000!item.en-US,"Finish Jet-Dry Ultra Dishwasher Rinse Aid, 38 fl oz",051700999613,/grocery-household.html,['Finish'],,,,,
660968!item.en-US,"Cascade Advanced Power Liquid Dishwasher Detergent, Fresh Scent, 125 fl oz",037000296744,/grocery-household.html,['Cascade'],,,,,
1239519!item.en-US,"Kirkland Signature Ultra Clean Free & Clear HE Liquid Laundry Detergent, 146 loads, 194 fl oz",096619279562,/kirkland-signature-groceries.html,['Kirkland Signature'],,,,,
7816886!item.en-US,"Finish Powerball Quantum Dishwasher Detergent Tabs, 100-count",051700993499,/grocery-household.html,['Finish'],,,,,
1755441!item.en-US,"Kirkland Signature Flex-Tech 33-Gallon Trash Bag, 90-count",196633943316,/kirkland-signature-groceries.html,['Kirkland Signature'],,,,,
2626431!item.en-US,"Arm & Hammer Plus OxiClean Max HE Liquid Laundry Detergent, Fresh, 200 Loads, 200 fl oz",033200975977,/grocery-household.html,['Arm & Hammer'],,,,,
87507!item.en-US,"Kirkland Signature 10-Gallon Wastebasket Liner, Clear, 500-count",096619875078,/kirkland-signature-groceries.html,['Kirkland Signature'],,,,,
3160408!item.en-US,"Tide Plus Downy Liquid Laundry Detergent, April Fresh, 111 Loads, 141 fl oz",030772129456,/grocery-household.html,['Tide'],,,,,
2218587!item.en-US,"Swiffer Duster Heavy Duty Dusting Kit, 1 Handle + 17 Refills",030772046920,/grocery-household.html,['Swiffer'],,,,,
3222470!item.en-US,"Tide Pods with Downy Laundry Detergent Pods, April Fresh, 104-count",030772135471,/grocery-household.html,['Tide'],,,,,
1032422!item.en-US,"Palmolive Ultra Strength Liquid Dish Soap, 102 fl oz",035000444813,/grocery-household.html,['Palmolive'],,,,,
1789130!item.en-US,"Kirkland Signature Ultra Shine Liquid Dish Soap, Fresh, 90 fl. oz.",196633920324,/kirkland-signature-groceries.html,['Kirkland Signature'],,,,,
1709318!item.en-US,"Tide Ultra Concentrated Liquid Laundry Detergent, 152 Loads, 170 fl oz",030772092583,/grocery-household.html,['Tide'],,,,,
625994!item.en-US,"Clorox ToiletWand Disposable Toilet Cleaning System, Rainforest Rush, 1 Wand & 36 Refills",10044600606030,/floor-bathroom-cleaners.html,['Clorox'],,,,,
1456660!item.en-US,"Swiffer Sweeper Heavy Duty Dry Sweeping Cloth Refills, 50-count",037000545491,/grocery-household.html,['Swiffer'],,,,,
