id,name,upc,category,brand,weight,height,width,length,color
1732332!item.en-US,LG Top Control Wi-Fi Enabled Dishwasher with QuadWash Pro,048231346238,/appliances.html,['LG'],['87.3 lb.'],,,,['Stainless Steel']
1600615!item.en-US,GE 52 dBa Top Control Dishwasher with Steam + Sani and Dry Boost,084691863557,/appliances.html,['GE Appliances'],['58 lb.'],,,,['Black']
1719033!item.en-US,"Bosch Benchmark Series Top Control Pocket Handle Dishwasher, Stainless Steel Tub, CrystalDry System, Ultra Quiet 38 dBa",825225964971,/appliances.html,['Bosch'],['117 lb.'],,,,['Stainless Steel']
1751687!item.en-US,Samsung 46 dBa Top Control Smart Dishwasher with AutoRelease and StormWash,887276761466,/appliances.html,['Samsung'],['84 lb.'],,,,['Matte Black']
1822265!item.en-US,"Bosch 300 Series Recessed Handle Stainless Steel Tub Dishwasher, 46 dBA",825225970231,/appliances.html,['Bosch'],['81 lb.'],,,,['Stainless Steel']
1688375!item.en-US,"Samsung 42 dBA Top Control Smart Dishwasher with AutoRelease, StormWash Plus and Smart Dry",887276657400,/appliances.html,['Samsung'],['91.5 lb.'],,,,['White Glass']
1356586!item.en-US,KitchenAid Top Control Dishwasher with FreeFlex Third Level Rack,883049532677,/appliances.html,['KitchenAid'],['95 lb.'],,,,['Stainless Steel']
1425847!item.en-US,KitchenAid 44 dBA Dishwasher with FreeFlex Third Rack and LED Interior Lighting,883049532820,/appliances.html,['KitchenAid'],['116 lb.'],,,,['Stainless Steel']
1904348!item.en-US,LG Towel Bar Top Control Wi-Fi Enabled Dishwasher 46 dB Operation,195174095027,/appliances.html,['LG'],['97 lb.'],,,,['Stainless Steel']
1425830!item.en-US,KitchenAid Front Control Dishwasher with FreeFlex Third Level Rack and ProWash Cycle,883049532868,/appliances.html,['KitchenAid'],['116 lb.'],,,,['Stainless Steel']
1706276!item.en-US,"LG Top Control Wi-Fi Enabled Pocket Handle Dishwasher with 1-Hour Wash & Dry, QuadWash Pro, TrueSteam and Dynamic Heat Dry",499995712409,/appliances.html,['LG'],['92.15 lb.'],,,,['Black Stainless Steel']
1751692!item.en-US,Samsung 46 dBA Top Control Smart Dishwasher with AutoRelease and StormWash,887276763866,/appliances.html,['Samsung'],['84 lb.'],,,,['Stainless Steel']
1675088!item.en-US,"LG Top Control Wi-Fi Enabled Towel Bar Handle Dishwasher with 1-Hour Wash & Dry, QuadWash Pro, TrueSteam and Dynamic Heat Dry",048231344180,/appliances.html,['LG'],['97 lb.'],,,,['Black Stainless Steel']
6660259!item.en-US,KitchenAid Top Control Dishwasher with Triple Filtration System,883049540627,/appliances.html,['KitchenAid'],['98 lb.'],,,,['Stainless Steel']
1838056!item.en-US,GE Profile 39 dBa Smart Top Control Dishwasher with Deep Clean 3rd Rack and Microban Antimicrobial Technology,084691914556,/appliances.html,['GE Profile'],['124 lb.'],,,,['Stainless Steel']
1425654!item.en-US,Maytag Top Control Powerful Dishwasher with Dual Power Filtration,883049532912,/appliances.html,['Maytag'],,,,,['Stainless Steel']
1600623!item.en-US,"GE 50 dBa Top Control Dishwasher with 3rd  Rack, Bottle Jets and Dry Boost",084691863663,/appliances.html,['GE Appliances'],['60 lb.'],,,,['White']
1833048!item.en-US,Café 39 dBa CustomFit Top Control Dishwasher with Stainless Interior and Ultra Wash 3rd Rack,084691914594,/appliances.html,['Café'],['124 lb.'],,,,['Stainless Steel']
1691253!item.en-US,Midea Smart 45-decibel Top Control 24-in Built-In Dishwasher,810040942754,/appliances.html,['Midea'],['102.5 lb.'],,,,['Stainless Steel']
1760752!item.en-US,Café 49 dBa Double Drawer Dishwasher with Independent Wash Systems,084691897316,/appliances.html,['Café'],['120 lb.'],,,,['Matte Black']
1878026!item.en-US,Midea Portable Countertop Dishwasher with Built-In Pump,499994713759,/home-and-decor.html,['Midea'],['39.57 lb.'],,,,['White']
1644529!item.en-US,"Samsung 42 dBA Top Control Smart Dishwasher with AutoRelease, StormWash Plus and Smart Dry",887276616438,/appliances.html,['Samsung'],['91.5 lb.'],,,,['Stainless Steel']
1813389!item.en-US,Samsung 38 dBA Bespoke Smart Dishwasher with Recessed Handle and 3rd Rack Washing System,887276931470,/appliances.html,['Samsung'],['88.2 lb.'],,,,['Matte Black Steel']
1942930!item.en-US,Café CustomFit 44 dBA ENERGY STAR Stainless Interior Smart Dishwasher with Ultra Wash Top Rack and Dual Convection Ultra Dry,499994325969,/appliances.html,['Café'],['124 lb.'],,,,['Matte White']
1813391!item.en-US,Samsung 38 dBA Bespoke Auto Open Door Dishwasher with 3rd Rack Washing System,887276931456,/appliances.html,['Samsung'],['93.7 lb.'],,,,['Stainless Steel']
1466477!item.en-US,"Hamilton Beach 11 cu. ft. Upright Freezer with Drawer Organization, 10.7 cu. ft. Net",058465816476,/freezers-ice-makers.html,['Hamilton Beach'],,,,,['White']
1762237!item.en-US,Hisense 13.6 cu. ft. Garage Ready Frost Free Convertible Upright Freezer,810088364921,/freezers-ice-makers.html,['Hisense'],,,,,['White']
1664462!item.en-US,"Frigidaire Gallery Nugget Ice Maker, 44 lbs",499994799234,/freezers-ice-makers.html,['Frigidaire'],['34 lb.'],,,,['White']
1781264!item.en-US,Hisense 21.2 cu. ft. Garage Ready Frost Free Convertible Upright Freezer in White,810088365607,/freezers-ice-makers.html,['Hisense'],['182 lb.'],,,,['White']
1862726!item.en-US,"Frigidaire Crunch Countertop Nugget Ice Maker, 33 lbs",058465833619,/freezers-ice-makers.html,['Frigidaire'],['22.2 lb.'],,,,['Stainless Steel']
1760993!item.en-US,"GE Profile Opal 2.0 Nugget Ice Maker, 38 lbs",084691939184,/freezers-ice-makers.html,['GE Profile'],['38.6 lb.'],,,,['Gray']
1890326!item.en-US,Professional Series Garage Ready 10.0 cu. ft. Chest Freezer,765167915122,/freezers-ice-makers.html,['Professional Series'],['84.88 lb.'],,,,['Gray']
1474064!item.en-US,Samsung 11.4 cu. ft. Capacity Convertible Upright Freezer,887276440378,/freezers-ice-makers.html,['Samsung'],['161 lb.'],,,,['Stainless Look']
1781262!item.en-US,Hisense 17.1 cu. ft. Garage Ready Frost Free Convertible Upright Freezer in White,810088365591,/freezers-ice-makers.html,['Hisense'],['158 lb.'],,,,['White']
1202695!item.en-US,GE 21.3 cu. ft. Garage Ready Upright Freezer with Glass Shelves,084691822363,/freezers-ice-makers.html,['GE Appliances'],['224 lb.'],,,,['White']
1811864!item.en-US,Frigidaire 20.0 cu. ft. Garage Ready Frost Free Upright Freezer in White,012505648427,/freezers-ice-makers.html,['Frigidaire'],,,,,['White']
