product_id,status,list_price,unit_price,sale_price,store_id
1542918!item.en-US,in stock,1199.99,1199.99,1199.99,847_ss_u362-edi
1805434!item.en-US,in stock,1149.99,1149.99,1149.99,847_ss_u362-edi
1722581!item.en-US,in stock,2049.99,2049.99,2049.99,847_0-edi
1838052!item.en-US,in stock,899.99,899.99,899.99,847_0-edi
1813364!item.en-US,in stock,1199.99,1199.99,1199.99,847_ss_u362-edi
1675070!item.en-US,in stock,2799.99,2799.99,2799.99,847_lg_n1f-edi
1202732!item.en-US,in stock,1449.99,1449.99,1449.99,847_0-edi
1805424!item.en-US,in stock,1329.99,1329.99,1329.99,847_ss_u362-edi
1426792!item.en-US,in stock,1649.99,1649.99,1649.99,847_0-edi
1595801!item.en-US,in stock,1349.99,1349.99,1349.99,847_ss_u362-edi
1324121!item.en-US,in stock,4299.99,4299.99,4299.99,847_0-edi
1756066!item.en-US,in stock,1299.99,1299.99,1299.99,847_lg_n1f-edi
1202724!item.en-US,in stock,4099.99,4099.99,4099.99,1250-3pl
1813366!item.en-US,in stock,1329.99,1329.99,1329.99,847_ss_u362-edi
1756070!item.en-US,in stock,1649.99,1649.99,1649.99,847_lg_n1f-edi
1516432!item.en-US,in stock,2549.99,2549.99,2549.99,847_0-edi
1771809!item.en-US,in stock,799.99,799.99,799.99,1250-3pl
1732338!item.en-US,in stock,949.99,949.99,949.99,847_lg_n1f-edi
1819314!item.en-US,in stock,899.99,899.99,899.99,847_0-edi
1811871!item.en-US,in stock,1449.99,1449.99,1449.99,1250-3pl
1574004!item.en-US,in stock,429.99,429.99,429.99,847_0-edi
1419311!item.en-US,in stock,1049.99,1049.99,1049.99,847_lg_n1f-edi
1811870!item.en-US,in stock,1149.99,1149.99,1149.99,1250-3pl
1503221!item.en-US,in stock,3449.99,3449.99,3449.99,847_0-edi
1756069!item.en-US,in stock,1549.99,1549.99,1549.99,847_lg_n1f-edi
1805433!item.en-US,in stock,1079.99,1079.99,1079.99,1250-3pl
1732344!item.en-US,in stock,1049.99,1049.99,1049.99,847_lg_n1f-edi
1877482!item.en-US,in stock,2049.99,2049.99,2049.99,1250-3pl
1722580!item.en-US,in stock,1899.99,1899.99,1899.99,847_0-edi
1506557!item.en-US,in stock,729.99,729.99,729.99,847_0-edi
