id,name,gtin,category,brand,rating
P990366403,"Trident Mint Sugar Free Gum, Variety Pack, 14 pcs., 20 pk.",7339005018,1457,TRIDENT,3.6667
prod21371373,"Ferrero Rocher Gourmet Hazelnut Chocolates, 1.3 oz., 12 pk.",980012012,690107,Ferrero Rocher,4.8118
prod1190366,"Twix Caramel Cookie Chocolate Candy Bars, Share Size, 3.02 oz., 24 pk.",4000035387,690107,Twix,4.4959
P990390954,"Skittles Gummies Original Gummy Candy, Share Size, 3 oz., 15 pk.",,16290835,Skittles,4.7391
P990390951,"Skittles Gummies Sour Gummy Candy, Share Size, 15 pk.",2200029871,16290835,SKITTLES,4.3889
prod14550107,"SOUR PUNCH Assorted Chewy Candy Twists, 180 pcs.",4136408503,16290835,Sour Punch,4.7908
P990392817,"SNICKERS Butterscotch Scoop, Fun Size, 47 pcs.",4000061055,690107,SNICKERS,4.3736
P990392894,"Chupa Chups Cremosa Lollipops, Strawberry and Choco-Vanilla, 100 ct.",,16290834,Chupa Chups,
prod740569,"Salsagheti Watermelon, 0.84 oz., 24 pk.",72518162810,16290835,Lucas,4.6575
149954,"M&M'S Peanut Milk Chocolate Candy, Share Size, 3.27 oz., 24 pk.",4000004432,690107,Mars ,4.7578
P03019742,"Wrigley's 5 Gum Spearmint Rain, 15 pcs., 10 pk.",2200010508,1457,Wrigley's,4.4894
prod22820243,"REESE'S Milk Chocolate Peanut Butter Cups, Minis, 38 oz.",3400043168,690107,Reese's,4.8293
prod21451350,"Trident Mint Variety Pack Sugar Free Gum 14 pcs., 20 pk.",1254601224,1457,Trident,4.6829
prod4640064,"El Pinatero Pinata Party Candy Mix, 5 lbs.",1880405154,16290834,Canel's,4.4235
prod11400063,"Lucas Mix Mango Chamoy, 24 ct.",72518174210,16290835,Lucas,4.4828
P990363008,"Ferrara Party Mix, 120 pcs.",7920008457,16290835,Sweetarts,4.7692
P03014521,"Ricolino Duvalin Trisabor Spread, 60 pk.",75752804831,690107,Ricolino,3.6324
P03005167,"Mamba Fruit Chews Candy, Party Size, 165 pcs. ",7279993258,16290835,Mamba,4.7772
P990403493,"HARIBO Goldbears and Wildberry Goldbears Minis, 0.4 oz., 150 ct.",4223872716,16290835,HARIBO,4.9091
P990409079,"Gem Gem Chewy Ginger Candy Variety Pack, 19oz.",,16290835,Gem Gem ,5.0
P990396135,"Copper Kettle, Pretzel Caramel Clusters, 20.3 oz.",81003270332,690107,Copper Kettle,4.2857
